Player,height_cm,weight_kg,weak_foot,X90s,Gls,Ast,G.A,G.PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G.A_90,G.PK_90,G.A.PK_90,xG_90,xAG_90,xG.xAG_90,npxG_90,npxG.xAG_90,main_position,player_positions,pos_LB,pos_CB,pos_RB,pos_RWB,pos_GK,pos_LM,pos_CM,pos_CAM,pos_CDM,pos_RW,pos_RM,pos_ST,pos_LW,pos_LWB,pos_CF
Pascal Groß,181,78,4,34.6,4,10,14,3,1,1,6,0,6.5,5.7,8.1,13.8,83,302,180,0.12,0.29,0.4,0.09,0.38,0.19,0.24,0.42,0.16,0.4,CM,"CM, CDM, RB",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Pau Torres,191,80,3,27.4,2,0,2,2,0,0,1,0,1,1,0.4,1.4,42,128,16,0.07,0,0.07,0.07,0.07,0.04,0.02,0.05,0.04,0.05,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Dummett,183,82,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.11,0,0.11,0.11,0.11,CB,"CB, LB",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Neto,172,62,4,16.8,2,9,11,2,0,0,4,0,3.5,3.5,4.4,7.9,98,54,149,0.12,0.53,0.65,0.12,0.65,0.21,0.26,0.47,0.21,0.47,LM,"LM, RW, ST",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Pedro Porro,173,69,3,34.3,3,7,10,3,0,0,3,0,2.9,2.9,7.2,10.1,57,194,158,0.09,0.2,0.29,0.09,0.29,0.09,0.21,0.3,0.09,0.3,RB,"RB, RWB",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Pervis Estupiñán,175,78,3,13.8,2,3,5,2,0,0,4,0,1,1,3.5,4.4,47,83,88,0.14,0.22,0.36,0.14,0.36,0.07,0.25,0.32,0.07,0.32,LB,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philip Billing,197,80,3,15.5,2,2,4,2,0,0,3,1,2.5,2.5,3.2,5.7,22,53,63,0.13,0.13,0.26,0.13,0.26,0.16,0.21,0.36,0.16,0.36,CM,"CM, CAM",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Raheem Sterling,170,69,3,22,8,4,12,8,0,0,7,0,6.5,6.5,4.5,11,120,78,242,0.36,0.18,0.55,0.36,0.55,0.29,0.2,0.5,0.29,0.5,LW,"LW, RW, ST",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Raphaël Varane,191,81,4,15.3,1,0,1,1,0,0,2,0,1.3,1.3,0.1,1.3,16,59,2,0.07,0,0.07,0.07,0.07,0.08,0,0.09,0.08,0.09,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasmus Højlund,191,79,3,24,10,2,12,10,0,0,2,0,7.6,7.6,1.6,9.2,36,33,111,0.42,0.08,0.5,0.42,0.5,0.32,0.07,0.38,0.32,0.38,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Raúl Jiménez,188,81,4,15.5,7,0,7,7,0,0,3,1,5.2,5.2,1.5,6.6,11,24,87,0.45,0,0.45,0.45,0.45,0.33,0.1,0.43,0.33,0.43,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rayan Aït-Nouri,180,70,3,25.9,2,1,3,2,0,0,7,0,3.3,3.3,2.4,5.6,67,99,99,0.08,0.04,0.12,0.08,0.12,0.13,0.09,0.22,0.13,0.22,LB,"LB, LWB",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Reece Burke,189,81,3,18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,11,67,14,0,0.22,0.22,0,0.22,0.07,0.07,0.15,0.07,0.15,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Reece James,178,87,3,4.7,0,2,2,0,0,0,2,2,0.3,0.3,1.7,2.1,19,21,35,0,0.43,0.43,0,0.43,0.07,0.37,0.44,0.07,0.44,RB,"RB, RWB",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Reiss Nelson,175,71,3,3,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,9,5,26,0,0,0,0,0,0.07,0.2,0.27,0.07,0.27,RW,"RW, LW",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Remi Matthews,192,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rhian Brewster,180,75,3,3.8,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,1,3,21,0,0,0,0,0,0.09,0.03,0.12,0.09,0.12,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rhys Norrington-Davies,181,70,2,1.2,0,0,0,0,0,0,1,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0.01,0.01,0,0.01,LWB,"LWB, CB, LB",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Richarlison,184,71,5,16.6,11,4,15,11,0,0,3,0,9.6,9.6,2.1,11.7,26,38,106,0.66,0.24,0.91,0.66,0.91,0.58,0.13,0.7,0.58,0.7,ST,"ST, LW, RW",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Rico Henry,170,66,2,4.5,0,1,1,0,0,0,1,0,0.1,0.1,1,1.1,13,20,12,0,0.22,0.22,0,0.22,0.02,0.22,0.24,0.02,0.24,LB,"LB, LWB",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Rico Lewis,169,70,3,9,2,0,2,2,0,0,1,0,0.6,0.6,1.1,1.8,21,33,46,0.22,0,0.22,0.22,0.22,0.07,0.12,0.19,0.07,0.19,RB,"RB, CDM",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Robert Sánchez,197,85,4,15.9,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Robin Olsen,198,89,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rodri,191,82,4,32.6,8,9,17,8,0,0,8,1,4.1,4.1,3.9,8,76,376,55,0.25,0.28,0.52,0.25,0.52,0.12,0.12,0.24,0.12,0.24,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Rodrigo Bentancur,187,73,4,11.2,1,1,2,1,0,0,7,0,1.9,1.9,0.5,2.4,16,72,31,0.09,0.09,0.18,0.09,0.18,0.17,0.04,0.22,0.17,0.22,CM,"CM, CDM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Rodrigo Muniz,185,79,3,17.7,9,1,10,9,0,0,1,0,8.7,8.7,2,10.7,8,19,76,0.51,0.06,0.56,0.51,0.56,0.49,0.12,0.61,0.49,0.61,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Roméo Lavia,181,75,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CDM,CDM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ross Barkley,186,76,5,29.1,5,4,9,5,0,0,6,0,4.1,4.1,3.7,7.9,48,163,39,0.17,0.14,0.31,0.17,0.31,0.14,0.13,0.27,0.14,0.27,CAM,"CAM, CM",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Rúben Dias,187,82,4,28.4,0,0,0,0,0,0,0,0,1.4,1.4,0.3,1.7,34,173,16,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Christie,178,71,4,32.3,0,5,5,0,0,0,6,0,2.3,2.3,5.4,7.7,60,167,78,0,0.15,0.15,0,0.15,0.07,0.17,0.24,0.07,0.24,RM,"RM, RW",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Ryan Gravenberch,190,77,4,12.5,1,0,1,1,0,0,0,0,2,2,0.9,2.9,39,78,71,0.08,0,0.08,0.08,0.08,0.16,0.07,0.23,0.16,0.23,CM,CM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ryan Yates,190,77,3,22.1,1,1,2,1,0,0,6,0,2.6,2.6,0.8,3.5,18,73,37,0.05,0.05,0.09,0.05,0.09,0.12,0.04,0.16,0.12,0.16,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Saïd Benrahma,172,67,4,6.9,0,1,1,0,0,1,1,0,1.8,1,1.4,2.5,28,28,70,0,0.15,0.15,0,0.15,0.27,0.21,0.47,0.15,0.36,LM,"LM, CAM",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Sam Johnstone,193,85,3,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saman Ghoddos,175,79,3,8.2,1,0,1,1,0,0,5,0,0.3,0.3,1.1,1.4,22,36,31,0.12,0,0.12,0.12,0.12,0.04,0.13,0.17,0.04,0.17,CAM,"CAM, CM, LM",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Sander Berge,195,96,3,33.4,1,2,3,1,0,0,10,1,1.9,1.9,2.4,4.3,64,164,29,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,CM,CM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sandro Tonali,181,79,4,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,11,19,21,0.21,0,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Santiago Bueno,190,76,3,9.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,11,2,0,0,0,0,0,0,0.01,0.01,0,0.01,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saša Lukić,183,77,3,12.5,1,0,1,1,0,0,3,0,1.6,1.6,0.8,2.4,12,43,27,0.08,0,0.08,0.08,0.08,0.13,0.06,0.19,0.13,0.19,CM,"CM, CDM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Scott McKenna,189,80,3,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,10,0,0,0,0,0,0,0.05,0.04,0.08,0.05,0.08,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott McTominay,193,88,3,21.1,7,1,8,7,0,0,2,0,5.7,5.7,0.8,6.6,29,64,47,0.33,0.05,0.38,0.33,0.38,0.27,0.04,0.31,0.27,0.31,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Séamus Coleman,177,77,3,7.4,0,0,0,0,0,0,0,0,0,0,1,1,5,22,16,0,0,0,0,0,0,0.14,0.14,0,0.14,RB,"RB, RWB",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Sean Longstaff,180,65,3,30.5,6,2,8,6,0,0,7,0,6.6,6.6,2.3,8.8,24,145,116,0.2,0.07,0.26,0.2,0.26,0.22,0.07,0.29,0.22,0.29,CM,CM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Serge Aurier,174,74,3,9.3,0,2,2,0,0,0,2,0,0.2,0.2,0.5,0.6,10,47,29,0,0.22,0.22,0,0.22,0.02,0.05,0.07,0.02,0.07,RB,"RB, RWB",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Sergio Gómez,171,68,3,0.6,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,4,2,4,0,1.7,1.7,0,1.7,0.41,0.31,0.73,0.41,0.73,LB,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Reguilón,178,68,3,4.6,0,0,0,0,0,0,3,0,0.2,0.2,0.7,0.9,11,27,38,0,0,0,0,0,0.04,0.16,0.2,0.04,0.2,LB,"LB, LWB",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Sergio Reguilón,178,68,3,12.4,0,4,4,0,0,0,4,1,0.8,0.8,2.8,3.6,34,38,40,0,0.32,0.32,0,0.32,0.06,0.23,0.29,0.06,0.29,LB,"LB, LWB",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Shandon Baptiste,175,67,4,2.5,1,1,2,1,0,0,1,0,0.9,0.9,0.2,1.1,3,5,1,0.39,0.39,0.79,0.39,0.79,0.35,0.08,0.43,0.35,0.43,CM,"CM, CDM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Simon Adingra,175,65,3,24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8,111,50,278,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32,LM,"LM, ST",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Sofyan Amrabat,185,75,2,10.4,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,6,66,10,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Stefan Bajcetic,185,70,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Stefan Ortega,185,88,4,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sven Botman,193,81,3,15.3,2,2,4,2,0,0,2,0,0.6,0.6,1,1.6,0,35,5,0.13,0.13,0.26,0.13,0.26,0.04,0.07,0.11,0.04,0.11,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tahith Chong,185,75,3,22,4,0,4,4,0,0,4,0,2.7,2.7,0.5,3.2,57,72,101,0.18,0,0.18,0.18,0.18,0.12,0.02,0.15,0.12,0.15,RM,"RM, CM, CF",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Taiwo Awoniyi,189,85,2,11.6,6,3,9,6,0,0,2,0,4.7,4.7,1.7,6.4,8,14,45,0.52,0.26,0.78,0.52,0.78,0.41,0.15,0.56,0.41,0.56,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tariq Lamptey,163,62,3,10.2,0,3,3,0,0,0,3,0,0.4,0.4,1.2,1.7,39,17,64,0,0.3,0.3,0,0.3,0.04,0.12,0.16,0.04,0.16,RB,"RB, RWB",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Teden Mengi,183,78,3,27.4,1,0,1,1,0,0,3,0,0.6,0.6,0.3,0.9,15,54,1,0.04,0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Silva,183,79,3,28.1,3,1,4,3,0,0,4,0,0.8,0.8,1,1.8,2,102,5,0.11,0.04,0.14,0.11,0.14,0.03,0.04,0.06,0.03,0.06,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thilo Kehrer,186,76,5,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,CB,"CB, RB",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Kaminski,190,78,3,37.8,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thomas Partey,185,77,3,8.8,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.7,15,72,10,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Thomas Strakosha,193,78,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tim Iroegbunam,183,70,4,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Timothy Castagne,185,80,3,29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,48,77,113,0.03,0.1,0.14,0.03,0.14,0.06,0.07,0.12,0.06,0.12,RB,"RB, LB, RW",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Tom Cairney,186,84,2,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35,145,72,0.06,0.24,0.3,0.06,0.3,0.07,0.14,0.2,0.07,0.2,CM,"CM, CAM",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Tom Davies,180,70,3,2.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,3,8,3,0,0,0,0,0,0.14,0.03,0.17,0.14,0.17,CM,"CM, CDM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Tomáš Souček,192,86,3,31.9,7,2,9,7,0,0,7,0,6.7,6.7,1.7,8.4,7,86,39,0.22,0.06,0.28,0.22,0.28,0.21,0.05,0.26,0.21,0.26,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Toti Gomes,187,72,3,30.8,1,3,4,1,0,0,7,0,1.6,1.6,1.2,2.8,22,79,11,0.03,0.1,0.13,0.03,0.13,0.05,0.04,0.09,0.05,0.09,CB,"CB, LB",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,180,69,4,23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,45,205,97,0.13,0.17,0.29,0.13,0.29,0.11,0.3,0.41,0.1,0.4,RB,RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trevoh Chalobah,191,84,3,10.6,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,5,31,9,0.09,0,0.09,0.09,0.09,0.02,0.01,0.02,0.02,0.02,CB,"CB, RB, CDM",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Tyler Adams,175,72,3,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,5,1,0,0,0,0,0,0,0.06,0.06,0,0.06,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Tyler Onyango,196,75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CM,"CM, CAM",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Tyrick Mitchell,175,66,3,35.6,2,3,5,2,0,0,6,0,1.6,1.6,2.8,4.4,32,94,159,0.06,0.08,0.14,0.06,0.14,0.04,0.08,0.12,0.04,0.12,LB,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrone Mings,196,77,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentino Livramento,181,71,4,14.6,1,0,1,1,0,0,1,0,0.4,0.4,0.8,1.2,44,61,76,0.07,0,0.07,0.07,0.07,0.03,0.05,0.08,0.03,0.08,RB,RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Victor Lindelöf,187,80,4,14.8,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.1,17,40,17,0.07,0.07,0.14,0.07,0.14,0.05,0.02,0.07,0.05,0.07,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinicius Souza,187,80,3,29.6,1,0,1,1,0,0,3,0,0.6,0.6,0.2,0.8,7,66,21,0.03,0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03,CDM,"CDM, CM, CB",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Virgil van Dijk,193,92,3,35.3,2,2,4,2,0,0,3,1,2.8,2.8,1.6,4.4,32,200,7,0.06,0.06,0.11,0.06,0.11,0.08,0.04,0.12,0.08,0.12,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitaliy Mykolenko,180,71,2,27.4,2,0,2,2,0,0,1,0,1.5,1.5,0.9,2.4,14,55,68,0.07,0,0.07,0.07,0.07,0.06,0.03,0.09,0.06,0.09,LB,"LB, LWB",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Vitaly Janelt,184,79,3,33.9,1,3,4,1,0,0,8,0,1.8,1.8,4.8,6.5,25,123,81,0.03,0.09,0.12,0.03,0.12,0.05,0.14,0.19,0.05,0.19,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Vitinho,175,73,4,25.7,0,2,2,0,0,0,1,0,1.6,1.6,1.3,2.9,59,66,110,0,0.08,0.08,0,0.08,0.06,0.05,0.11,0.06,0.11,RB,"RB, RM, LB",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Vladimír Coufal,175,76,3,34.8,0,7,7,0,0,0,7,1,0.3,0.3,4,4.3,68,119,126,0,0.2,0.2,0,0.2,0.01,0.11,0.12,0.01,0.12,RB,RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Will Hughes,185,74,3,21,0,1,1,0,0,0,6,0,0.3,0.3,1.1,1.5,14,76,17,0,0.05,0.05,0,0.05,0.02,0.05,0.07,0.02,0.07,CM,"CM, CDM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
William Osula,192,81,4,8.7,0,0,0,0,0,0,4,0,1.6,1.6,0.1,1.7,7,2,41,0,0,0,0,0,0.19,0.01,0.2,0.19,0.2,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
William Saliba,193,85,3,38,2,1,3,2,0,0,4,0,1.6,1.6,0.2,1.8,16,157,6,0.05,0.03,0.08,0.05,0.08,0.04,0.01,0.05,0.04,0.05,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Willian,175,77,4,22.8,4,2,6,2,2,2,1,0,5.1,3.6,3.9,7.5,92,153,181,0.18,0.09,0.26,0.09,0.18,0.22,0.17,0.4,0.16,0.33,LM,"LM, RM",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Wilson Odobert,182,75,4,23.3,3,2,5,3,0,0,3,0,2.8,2.8,3.3,6.1,102,58,123,0.13,0.09,0.21,0.13,0.21,0.12,0.14,0.26,0.12,0.26,LW,"LW, LM, RM",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Yasser Larouci,176,68,2,5.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,18,14,12,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,LWB,"LWB, LB",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Yehor Yarmoliuk,180,72,3,7.6,0,0,0,0,0,0,2,0,1,1,0.1,1.1,13,35,36,0,0,0,0,0,0.13,0.01,0.14,0.13,0.14,CAM,"CAM, CM, RW",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Yoane Wissa,176,74,3,27.7,12,3,15,12,0,0,7,0,10.6,10.6,3.9,14.5,45,48,150,0.43,0.11,0.54,0.43,0.54,0.38,0.14,0.52,0.38,0.52,LW,"LW, ST",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Youri Tielemans,176,72,5,18,2,6,8,2,0,0,3,0,1.3,1.3,2.6,3.9,23,128,46,0.11,0.33,0.44,0.11,0.44,0.07,0.14,0.21,0.07,0.21,CM,"CM, CDM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Youssef Chermiti,192,81,3,2.3,0,0,0,0,0,0,3,0,0.7,0.7,0.8,1.5,5,5,15,0,0,0,0,0,0.31,0.34,0.65,0.31,0.65,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Yves Bissouma,182,80,3,23,0,0,0,0,0,0,10,2,1.4,1.4,0.4,1.8,43,169,13,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Zeki Amdouni,185,79,4,21.7,5,1,6,4,1,1,2,0,5.8,5,1.4,6.5,63,49,93,0.23,0.05,0.28,0.18,0.23,0.27,0.07,0.33,0.23,0.3,ST,"ST, CAM",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
